company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Ignitho,Data Scientist Associate,4.3,"Location:
Chennai, TN

Openings:
1

Salary Range:

Description:
Roles & Responsibility :
Strongly prefer Computer Science Graduates - BE, MCA, ME related to Information Technology
Good knowledge on Program Design, develop and building software systems etc., - in a Software Industry
Knowledge on Python Scripts, Cloud Technology (AWS/Azure/GCP) is a must (Preferrable certification in one or more of these from the college or Training institute)
Strong Knowledge in any Database, SQL Scripts
Identify and resolve software problems as they arise in the latest technologies
Must have superior analytical thinking and problem solving skills
Skill set :
AWS/Azure/GCP, Python, SQL Scripts,
Candidates should have completed multiple projects (in relevant technologies) in Final year Project or in Campus trainings
Employment details:
Training period : 6 months ( With Stipend )
There will be a 2-year employment agreement which they must sign, we will not take any originals of their educational certificates.
Open to work in UK Shift (3PM to 12AM)",Chennai,"₹8,30,662",/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
SearchUrCollege,Data Scientist,4.0,"Profile Requirements
Analyze and dig out carefully vetted, actionable insights from (mostly! pre-cleaned) data.
Turn insights into precise changes in the system; applying a toolset including calculus, statistical modeling, advanced algorithms, and machine learning to create measurable dollar impact.
Scale and generalize forecasting models and optimization algorithms to handle requirements from new markets and clients.
Travel and engage clients directly to translate their business needs into implementable science.
Fundamental math and designing robust algorithms from scratch excites you (as opposed to just running boost.fit).
You care deeply about true measurable value, not just methods; and you are willing to go the many extra miles to create it.
You are hands-on, like to get in there yourself; and can take a vague problem all the way through to designing, implementing, and proving the solution.
You pay attention to writing clean, minimal code; bugs really bother you.
You are pragmatic and have an eye for detail.
Solid understanding of machine learning fundamentals, probability, and algorithms.
At least 1-year of experience coding in R/Python .
1 – 3 years of experience in building analytical models; familiarity with common machine learning techniques.
Experience in C a big plus.
Experience in statistical inference and causal experimentation design a big plus.
Knowledge of data visualization tools like Tableau/Power Bi etc will be an added advantage
Pay Scale : 4.8 Lac – 13.0 Lac
Positions : 3",Noida,"₹8,90,000",/yr (est.),Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
V-Align Technologies,Data Analyst,,Candidates with 1 to 2 years’ experience statistical data analysis. Graduate with statistics knowledge. 1 May2016-001,Bengaluru,"₹6,48,074",/yr (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.4,3.2,3.6,3.4,3.2
Zappian,Data Analyst,,"About The Opportunity-

A data analyst is responsible for organizing data related to sales numbers, market research, and behavior, The person utilizes technical expertise to ensure data is accurate and high-quality. Data is then analyzed, designed, and presented in a way that assists individuals, businesses, and organizations make better decisions.

Roles and Responsibilities-
Using automated tools to extract data from primary and secondary sources
Removing corrupted data and related problems (cleaning, filtering, transformation of data)
Maintaining databases, and data systems – reorganizing data in a readable format
Performing analysis to assess the quality and meaning of data
Filter Data by reviewing reports and performance indicators to identify the problems.
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Preparing reports for the management stating trends, patterns, and predictions using relevant data
Working with Tech team, and business team to identify process improvement opportunities, and propose system modifications.
Preparing final analysis reports for the business team to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.

Required Skills-
Cleansing and preparing data
Analyzing and exploring data
Expertise in statistics
Analyzing and visualizing data
Reports and dashboards
Communication and writing
Expertise in the domain
Solution-oriented

Tools Knowledge Required-
SQL
Advanced Excel
Python/R
Tableau /Microsoft Power BI

Experience-

1-2 years of experience in the Data management field.",Bhopal,"₹6,08,360",/yr (est.),Unknown,--,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.3,2.9,3.9,3.3,3.3
Marktine Technology Solutions,DATA SCIENTIST,4.2,"Job Information
Industry
Technology
Remote Job
Job Description
Responsibilities: The Data Intelligence & Analytics Analyst must demonstrate critical thinking, analytical and problem-solving abilities, hands-on intelligence or data analysis skills, network analysis acumen, and intellectual curiosity is essential for data science tasks. The candidate must be able to apply these abilities to detect non-obvious risks or develop, test, and champion ideas to increase detection. The candidate should understand data science methods, and visualization techniques to leverage internal and external data to identify and develop ways to systemically detect financial crime risk. Research & develop Machine Learning models for security problems, in the areas of Networking, Application & Data. Suggest, collect and synthesize requirements and create effective features. Apply research methodologies to identify the Machine Learning models for the problem at hand. Requirements Preferred Qualifications: Domain expertise in Networking ( TCP/IP, HTTP) , Web Application Security (Bot detection ) is preferred Experience working with relational and NoSQL/Graph databases Unsupervised & Deep Learning Experience Familiar with Big Data frameworks (Hadoop or Spark) and cloud infrastructures Experience in applying Machine Learning techniques Ability and willingness to multi-task and learn new technologies quickly
This is a remote position.",Remote,,,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.0,3.7,4.1,4.1,4.3
Cognizant Technology Solutions,Process Specialist - Data,3.8,"Team Lead - CDM/PV
Qualification:
Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse
Responsibility:
Business/ Customer:
Minimal Customer interaction under guidance.
Understands Domain Process/sub process, functions, terminologies (such as SOP, QC checklists).
For PV/Complaints Management :
Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity the associate is responsible for meeting turnaround times and accuracy.
These associates are usually used to handle more critical/senitive transactions.
These associates also act as Subject Matter Expert.
CODING:
Perform coding activities on the assigned project with timelines and efficiency
Import uncoded terms in database and export coded medical terms from coding platform.
Query Management.
Create “New Term Request” and prioritize.
Perform Dictionary upversioning activity.
Send Coding (Consistency) Reports.
Participate in study related meetings as needed.
Provide feedback on quality related issues to other medical coders in timely manner.
Serve as an SME to Medical Reviewers regarding coding activities & guidelines.
Perform UAT for coding related applications.
Perform Operational QC.
Mentor Team Member.
Coordinate with CDM working on the same study.
Coordinate to resolve Rave specific issues.
CDM:
1 Execute Data Management Activities ie Data Cleaning, Executing Manual and System checks, Update relevant trackers, Discrepancy and query management, Issue resolution, Database lock activities.
2 Participate in innovation and process improvement initiatives.
3 Identify and develop action plan in coordination with the TL for activities not meeting the client SLAs.
4 Archive all necessary information for audit purposes according to quality and security requirements, to ensure reliable and timely retrieval of documentation and information.
5 Support multiple clinical trials, across diverse therapeutic areas, to successful conclusion and provide technical oversight when required.
Project / Process:
Attempts Complex problems (procedures/processes) and refers to Supervisor/Line Manager in rare cases.
Handle first level processing of transactions.
Adhere to quality requirements, achieve targets/volumes in given TAT(Turn around time).
Proactively identify issues.
Contribute to process improvement initiatives.
Identify and report process changes.
Adhere to the mandatory industry regulation and compliance requirements for the given process.
Knowledge Management:
Update Process documentation as appropriate for the process under guidance.
Participate in knowledge transfer.
People/Team Management:
Adhere to org hygiene and compliance needs in terms of.
a Personal Utilization & Time sheet submission.
b Personal and new hire Assimilation.
c Attendance.
d Team Initiatives.
Collate team performance metrics.
Manage break schedule/transport logistics for the team in the absence of his/her supervisor.
Must Have Skills
Customer Service-LS
Good To Have Skills
Connected Health
Employee Status : Full Time Employee
Shift : Day Job
Travel : No
Job Posting : Jan 09 2024
About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant.",Hyderābād,"₹5,88,183",/yr (est.),10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Ignitho,Data Scientist,4.3,"Location:
Chennai, Tamil Nadu

Openings:
1

Salary Range:

Description:
Job Description:
Design, Build and implement machine learning, statistical and other mathematical models for specific business use cases
Identify appropriate algorithms to discover patterns, optimize user experience,
Produce dynamic data driven analytic solutions to support the strategic goals of the company
Mine and translate data into meaningful insights and recommendations for the operational and strategic business units
Conduct data mining using state-of-the-art methods
Enhance data creation procedures to include information that is relevant for building analytic systems
Drive the collection of new data sources and the refinement of existing data sources
Analyze, interpret & clearly communicate the results of experiments to the business units
Work with cross-functional teams on the day-to-day execution of data & analytics projects and initiatives
Be an active part of the Data Tribe (CoE), learning, sharing and growing Ignitho's data talents
Contribute to organizational growth thru sessions, blogs, interviews and other Tribe activities
Data mining or extracting usable data from valuable data sources
Using machine learning tools to select features, create and optimize classifiers
Carrying out pre-processing of structured and unstructured data
Enhancing data collection procedures to include all relevant information for developing analytic systems
Processing, cleansing, and validating the integrity of data to be used for analysis
Analyzing large amounts of information to find patterns and solutions
Developing prediction systems and machine learning algorithms
Presenting results in a clear manner
Propose solutions and strategies to tackle business challenges

Skills:
Advanced Python, AWS proficiency, SQL
Big Data knowledge
Biotech domain knowledge preferrable
Great English proficiency
Shift Timings: 2 pm - 11 pm",Chennai,"₹8,30,662",/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
Amagi,Applied Data Scientist,,"JOB DESCRIPTION
Job role: Applied Data Scientist
Location: Bangalore, India
COMPANY BACKGROUND
Amagi is a global leader in cloud-managed services for the Streaming TV and Broadcast TV industry. Amagi enables TV networks and content owners to distribute and monetize their content. Amagi’s clients include premium networks and platforms such as NBCU, CBS, PBS, Samsung TV Plus, Redbox, XUMO, Roku, A+E Networks, Viceland TV, MGM, ShortsTV, Yahoo! Finance, PeopleTV, Tastemade, Turner Corporation, Discovery Networks and more.
Amagi pioneered the use of cloud technologies in the broadcast industry, and today manages 2000+ channels with deployments in more than 40 countries. Amagi is an advanced tier partner of Amazon Web Services (AWS), and works on the latest cloud technologies that are shaping the media and entertainment industry. Amagi has sales offices in New York, Los Angeles and London, and operations center in New Delhi, and an innovation center in Bangalore. For more information, visit www.amagi.com.
JOB SUMMARY
As part of our dynamic, energetic and talented team, you will get to learn, hone your skills, grow as a data scientist - and evolve into your next best version! Above all, you will enjoy your journey at Amagi and cherish every day working with a supportive, encouraging, and creative team!
As a senior applied data scientist, you will work on novel problems that will propel the next generation of growth at Amagi. We are building solutions to help better describe the content that flows through our systems. You will play a vital part in discover-ability by enriching the metadata. Apart from discover-ability, we build knowledge graphs around the content to help the advertisers understand the end consumers of the content better. The problems we solve involve vision and text technologies spanning video, audio and text datasets.
KEY RESPONSIBILITIES
Provide strong systems development skills, a creative analytical mindset, and expertise in data science, machine learning, and machine learning operations (MLOps)
Ensure high quality software deliverables by leveraging solid methodologies, automation, and tooling best practices
Stay current with state-of-the-art techniques and technologies in the field
Good understanding of popular Data Structure and Algorithms. Algorithms around the areas of image processing, text processing and graph algorithms will come in handy.
Develop and maintain code quality standards and best practices.
Enforce standards through regular code reviews.
Strong analytical thinking and communication
Skills that will help you thrive
Solid coding experience. We need rapid prototyping and being a good coder will help you focus on problem solving rather than being stuck with the nuances of coding.
First principle thinking. While we learn and draw inspiration from work in the open-source community, you will be expected to understand and convince/ educate the team on the approach that you are working on.
Work with a small nimble team of individual contributors and be comfortable with hands-on Problem solving. Given the open-ended nature of the problems, we emphasize quick iterations.
Knowledge of ML algorithms in the space of CV and NLP. Ability to understand the pros and cons of different algorithms and being able to quickly prototype is highly valued.
An always learning approach. The problem space is rapidly evolving, you will want to keep yourself on top of the developments in the area that you are working on.
Good written and spoken communication skills. Articulate and build consensus for your approach


JOB REQUIREMENTS
Solid Software development experience (2 years). Python is a mandatory skillset. Candidate needs to be very comfortable with linux and build command-line interfaces for the solutions.
Computer Vision experience preferred.
Bonus skills
Experience with dockers and containerising model deployments
Working with AWS / GCP",Bengaluru,"₹6,32,456",/yr (est.),201 to 500 Employees,2008,Company - Private,Broadcast Media,Media & Communication,Unknown / Non-Applicable,3.3,3.9,3.1,2.7,2.8
KhataBook,Data Engineer - I,3.3,"Required Experience
1 - 2 Years
Skills
SQL,
Programming,
Kubernetes
+ 1 more
Are you passionate about solving roadblocks & challenges faced by MSMEs in India
MSMEs contribute significantly to India’s total GDP. 90% of India’s ~$1 Trillion Retail Market is controlled by MSMEs. Which means ~$900B worth of commerce flows through these ~60M MSMEs in the form of shops/kiosks/homes, scattered all over the country.
We at Khatabook, have built a product that saves time of MSMEs by managing their credit, creating transparency in cash flow, henceforth increasing trust with their consumers and that paved the path for us to become India’s fastest growing fintech company.
Why work with us
People are our biggest asset! At Khatabook, every one of us is a dynamic superstar. We have carefully bred an ecosystem which hires nothing but incredibly and exceptionally talented people who can dream, collaborate, experiment, and break new ground. We’re a strong team that looks out for each other.
What would you do at Khatabook
Work on translating business needs to technical specifications and implement all stages right from data acquisition to integration, both batch and real-time
Working with Different pieces of Data Engineering (Ingestion, Processing, Serving)
Working on MLOps (Building self-serve systems around several model lifecycle) and working on the entire pipeline (from PoC to productionization) of Model & Data Versioning, Deployments.
Working with Data Tools (CDC(Debezium/Kafka-Connect, Kafka, DBT, Airflow, Spark, Snowflake, Redash,Tableau) and Infra level tools (Kubernetes, Helm, Docker, Jenkins)
Drive continuous improvements in moving, aggregating, profiling, sampling, testing terabytes of data
Build data pipelines data processing tools and technologies in open source and proprietary products like MongoDB, Postgres, DynamoDB, Sftp etc.
Develop and execute database queries and conduct analyses.
Manage and maintain large scale systems for various Model deployments, Rudderstack (With a load of ~3-4B events/month)
Harness operational excellence & continuous improvement with a can do attitude.
What are we looking for
1+ years of experience with large scale data delivery platforms, working on modern data systems to support exponentially data growth.
Experience with programming languages like Python, Java & scripting in Bash.
Strong SQL optimization and performance tuning experience in a high volume data environment that utilizes parallel processing.
Experience with version control systems (Github), deployment tools (Jenkins) and cloud platforms (AWS, GCP)
Ability to work effectively in an unstructured and fast-paced environment both independently and in a team setting, with a high degree of self-management with clear communication and commitment to delivery timelines.
Experience with Kubernetes is good to have

About Company
About Khatabook
We exist to empower India’s 60 Million strong MSMEs. Our users’ motives, methodology, expectations and behaviour are significantly different from our own when they interact with the internet and technology ecosystem which makes it harder to build for them, to solve that. Our first offering – is an Android App that has been downloaded over 10 crore+ times, which has resulted in having an active merchant base of over 9 million users.
As more businesses are adopting digital for business than ever before, Khatabook’s goal can be summed up simply - Empowering merchants by simplifying their business by
Building a complete business management platform.
Providing the power of technology to an underserved segment.
Helping businesses to grow by providing them with ammunition of insights & digital reports.
Offering a financial services platform catering to the specific needs of the MSME space.
We are an equal opportunity workplace. We expect your authentic, original selves at work always and stand against discrimination on the basis of caste, creed, gender, religion or background.",Bengaluru,"₹8,42,992",/yr (est.),51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.1,3.6,3.2,2.7,3.4
Vishal Infrastructure,Data Entry Operator,,"Qualification
Graduate
Experience
3 to 5 Yrs
Key Responsibilities
Any graduate / Post graduate with 3-5years experience data management / documentation.
Good communication skills along with proven mastery of Microsoft Office applications, including Word, Excel, PowerPoint etc.
Data Entry at Site. Maintainence of Records
Please, send your CV to jobs@vishalinfra.com",Bengaluru,,,,,,,,,,,,,
Aditya Pharmacy,ASSISTANT DATA ANALYST,,"Our Merchandising Department is. looking for an analytically-driven,. detailed-oriented individual to. join the Aditya team. This person. will leverage systems and data to. generate reports, create and. track purchase orders, manage. new and current item files, and. perform special projects that. ultimately serve to drive profits. and sales. The position of Data Analyst’s Assistant is available at our Headquarters in. Hyderabad, TG.",Hyderābād,"₹5,14,686",/yr (est.),501 to 1000 Employees,--,College / University,--,--,Unknown / Non-Applicable,,,,,
TecStub,Data Analyst (Power BI),4.1,"We are seeking a skilled Data Analyst to join our team. The ideal candidate will have experience working with data and have a strong knowledge of SQL and be able to analyze, interpret and present complex information in a clear and concise manner. The candidate should have knowledge of data visualization and be comfortable working with a variety of data sources.

What you’ll be doing:
Building data visualization dashboards and reports using tools such as PowerBI, Tableau, etc.
Analysing and reporting on business-sensitive data, presenting findings and suggestions for business process improvements.
Collaborate with cross-functional teams to understand their data needs and help to identify and prioritize data-driven solutions
Work with large and complex datasets, using data visualization and analysis tools to extract and interpret data and provide insights to drive decision-making
Good understanding of regular expressions to find and manipulate the patterns in data, and investigate errors.
Gather data from a variety of sources and work with the various business stakeholders to create reporting that will inform promotional strategies, sales trends
Demonstrate ability to take ownership of data and ensure data is accurate and validated.

What you’ll bring:
5 to 7 years of experience working with data in a business setting
Experience with data visualization tools (like Power BI/Tableau, etc.)
Strong analytical and problem-solving skills
Experience with SQL and data querying
Good in maths and spreadsheet skills.
An aptitude for process analysis, modeling and reviews
Strong attention to detail
Knowledge of Python or R for data analysis and modeling
Familiarity with data governance and compliance best practices

About Tecstub:
Tecstub is a renowned global provider of comprehensive digital commerce solutions for some of the world's largest enterprises. With offices in North America and Asia-Pacific, our team offers end-to-end solutions such as strategic Solution Consulting, eCommerce website and application development, and support & maintenance services that are tailored to meet our clients' unique business goals. We are dedicated to delivering excellence by working as an extended partner, providing next-generation solutions that are sustainable, scalable, and future-proof. Our passionate and driven team of professionals has over a decade of experience in the industry and is committed to helping our clients stay ahead of the competition.

We value our employees and strive to create a positive work environment that promotes work-life balance and personal growth. As part of our commitment to our team, we offer a range of benefits to ensure our employees are supported and motivated.

A 5-day work week that promotes work-life balance and allows our employees to take care of personal responsibilities while excelling in their professional roles.
30 annual paid leaves that can be utilized for various personal reasons, such as regional holidays, sick leaves, or any other personal needs. We believe that taking time off is essential for overall well-being and productivity.
Additional special leaves for birthdays, maternity and paternity events to ensure that our employees can prioritize their personal milestones without any added stress.
Health insurance coverage of 3 lakhs sum insured for our employees, spouse, and children, to provide peace of mind and security for their health needs.
Vouchers and gifts for important life events such as birthdays and anniversaries, to celebrate our employees' milestones and show appreciation for their contributions to the company.
A dedicated learning and growth budget for courses and certifications, to support our employees' career aspirations and encourage professional development.
Company outings to celebrate our successes together and promote a sense of camaraderie among our team members. We believe that celebrating achievements is an important part of building a positive work culture.",Ahmedabad,"₹1,61,194",/yr (est.),51 to 200 Employees,2014,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.2,4.1,4.1,4.1,4.1
AtkinsRéalis,Data Scientist,4.0,"We’re AtkinsRéalis, a world-leading Design, Engineering and Project Management organization. Created by the integration of long-standing organizations dating back to 1911, we are a world-leading professional services and project management company dedicated to engineering a better future for our planet and its people. We create sustainable solutions that connect people, data and technology to transform the world's infrastructure and energy systems. We deploy global capabilities locally to our clients and deliver unique end-to-end services across the whole life cycle of an asset including consulting, advisory & environmental services, intelligent networks & cybersecurity, design & engineering, procurement, project & construction management, operations & maintenance, decommissioning and capital. The breadth and depth of our capabilities are delivered to clients in key strategic sectors such as Engineering Services, Nuclear, Operations & Maintenance and Capital.
News and information are available at www.atkinsrealis.com or follow us on LinkedIn.
Our teams are proud to deliver on some of the most prestigious projects across the world. It's thanks to our talented people and their diverse thinking, expertise, and knowledge. Join us and you'll be part of our genuinely collaborative environment, where everyone is supported to make the most of their talents and expertise.
When it comes to work-life balance, AtkinsRéalis is a great place to be. So, let's discuss how our flexible and remote working policies can support your priorities. We're passionate about are work while valuing each other equally. So, ask us about some of our recent pledges for Women's Equality and being a 'Disability Confident' and 'Inclusive Employer’.
Requirements
3-6 years of experience as Data Scientist.
Strong grasp of numbers, statistics, mathematical concepts, and algorithms. Ideally with a degree at a master’s level.
Strong grasp of NLP
Knowledge of data structures, relational data, and big data platforms.
Demonstrate experience and understanding of Machine Learning, e.g.: linear/logistics regression, random forest, SVM, neural networks, etc.
Proficiency with Python.
Proficiency with machine and deep learning frameworks such as TensorFlow,Keras.
Experience with techniques to retrieve actionable feature insight from deep neural networks.
Experience developing solutions for on cloud.
What We Can Offer You
Varied, interesting and meaningful work.
A hybrid working environment with flexibility and great opportunities.
Opportunities for training and, as the team grows, career progression or sideways moves.
An opportunity to work within a large global multi-disciplinary consultancy on a mission to change the ways we approach business as usual.
Why work for AtkinsRéalis?
We at AtkinsRéalis are committed to developing its people both personally and professionally. Our colleagues have the advantage of access to a high ranging training portfolio and development activities designed to help make the best of individual’s abilities and talents. We also actively support staff in achieving corporate membership of relevant institutions.
Meeting Your Needs
To help you get the most out of life in and outside of work, we offer employees ‘Total Reward’.
Making sure you're supported is important to us. So, if you identify as having a disability, tell us ahead of your interview, and we’ll discuss any adjustments you might need.
Additional Information
We are an equal opportunity, drug-free employer committed to promoting a diverse and inclusive community - a place where we can all be ourselves, thrive and develop. To help embed inclusion for all, from day one, we offer a range of family friendly, inclusive employment policies, flexible working arrangements and employee networks to support staff from different backgrounds. As an Equal Opportunities Employer, we value applications from all backgrounds, cultures and ability.
We care about your privacy and are committed to protecting your privacy. Please consult our Privacy Notice on our Careers site to know more about how we collect, use and transfer your Personal Data.
Link: Equality, diversity & inclusion | Atkins India (atkinsrealis.com)",Gurgaon,"₹8,40,953",/yr (est.),10000+ Employees,1911,Company - Public,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),3.8,3.7,3.9,3.5,3.9
Microsoft,Data Analyst,4.2,"Microsoft’s Cloud business is experiencing explosive growth, and the Capacity, Supply Chain & Provisioning (CSCP) organization is responsible for enabling the infrastructure underlying this growth. Our mission is to deliver the world’s computer with an industry-leading supply chain. CSCP is responsible for strategic sourcing, customer demand forecasting, capacity planning and management, supply chain planning and execution, capacity provisioning, and decommissioning and dispositioning of datacenter assets worldwide.

We are looking for a Supply Chain Data Analyst for our Cloud Supply Chain Transformation organization. This role is an individual contributor, but with a responsibility to influence, plan, execute, and report up to our Supply Chain Executive leadership. Analyst will oversee CSCP operations planning processes using qualitative and quantitative methods. Collaborates with workstream stakeholders to align, refine, and improve CSCP planning and execution. Analyzes processes for assigned workstream to identify data quality issues and provide recommendations for short term and long-term corrective actions in conjunction with CSCP transformation initiatives. Leverages knowledge related to data analytics, supply chain and ERP as well as development of dashboards using business intelligence tools. Guides continuous and closed loop data quality initiatives that will improve organization efficiency. Identifies and recommends solutions for data quality that reduce operational inefficiencies, minimize manual work, and drive improved CSCP capabilities. Influences aligned workstream leaders and provides data driven insights to augment the improvement of existing tools, as well as expedite the adoption of new tools and processes.
Responsibilities

In this role you are required to develop BI solutions to measure and deliver data quality at scale
Understand business process, master data quality requirements and create data visualization to deliver insights and metrics
Work closely with analysts and engineering to deliver solutions aligned to established architecture rules
Ability to navigate highly matrixed organization to commit to deliverables, due dates, and clear accountability for action follow up
Provide clear, effective, and timely communications
Maintain flexibility with regard to work hours to support worldwide communications as needed
Qualifications
Required Qualifications:

Bachelor’s degree in Data Engineering, Analytics or business
5-7 years' experience in Supply Chain/Product Data operations/Data Analytics
Power BI, Excel, data analytics & reporting tools
Should be proficient in SQL query building, or other databases management.

Preferred Qualifications:

Enterprise data management, integration, analytical, and data quality skills
Experience as a data engineer, BI developer, or data analyst
Thorough knowledge of SQL, DataBricks, Cosmos, Spark
Excellent Power BI Skills
Understands data pipelines, data cleansing, data transformations and other analytical techniques required for data manipulation
Ability to manage numerous competing priorities in a flexible and fast-paced environment
Ability to successfully collaborate across multiple teams
Capable of strong individual contribution and influence across non-direct reporting teams
Problem-solving capability
Ability to maintain good judgment in fast-paced, high-stress environments
Cloud / high tech supply chain experience is a plus
Strong written and oral communication, organization, and time-management skills with high attention to detail
Analytical aptitude while able to maintain a broader perspective, identifies and evaluates opportunities to enhance the business through cross-group collaboration.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",Hyderābād,"₹3,94,497",/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.1,4.2,3.8,4.1
CoRover,Data Scientist,,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the accuracy and customer satisfaction for our customers. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Roles and responsibilities:
Identify valuable data sources and automate conversational AI platform.
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
knowledge or working experience on Unstructured data using NLP techniques
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Skill Set:
Tech skills:
Understanding of machine-learning and operations research
Knowledge of R, SQL, and Python
Functional skills:
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
Job Type: Full Time",Bengaluru,"₹5,79,655",/yr (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.8,4.6,4.7,4.8,4.6
